#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
262,0,0,54,20,0,2,4374,2
263,0,0,54,21,0,2,4374,1
264,0,0,54,22,0,2,3728,1
265,0,0,54,23,0,2,3728,2
266,0,0,54,24,0,2,3728,3
267,0,0,54,25,0,2,3672,3
268,0,0,54,26,0,2,3672,2
269,0,0,54,27,0,2,3672,1
270,0,0,54,28,0,1,4249,1
271,0,0,54,29,0,2,4249,2
272,0,0,54,30,0,1,4249,3
273,0,0,54,31,0,2,5266,3
274,0,0,54,32,0,1,5266,2
275,0,0,54,33,0,2,5266,1
276,0,0,54,34,0,1,3567,1
277,0,0,54,35,0,2,3567,2
278,0,0,54,36,0,1,3567,3
279,0,0,54,37,0,2,4441,3
280,0,0,54,38,0,1,4441,2
281,0,0,54,39,0,2,4441,1
282,0,0,54,40,0,1,6870,3
283,0,0,54,41,0,2,6870,2
284,0,0,54,42,0,1,6870,1
285,0,0,54,43,0,2,5857,3
286,0,0,54,44,0,1,5857,2
287,0,0,54,45,0,2,5857,1
288,0,0,54,46,0,1,3406,1
289,0,0,54,47,0,2,3406,2
290,0,0,54,48,0,1,4576,3
291,0,0,54,49,0,2,4576,2
292,0,0,54,50,0,1,4576,1
293,0,0,54,51,0,2,4137,1
294,0,0,54,52,0,1,4137,2
295,0,0,54,53,0,2,4137,3
296,0,0,54,54,0,1,3729,3
297,0,0,54,55,0,2,3729,2
298,0,0,54,56,0,1,3729,1
299,0,0,54,57,0,2,4191,1
300,0,0,54,58,0,1,4191,2
301,0,0,54,59,0,2,4191,3
302,0,0,53,1,0,2,4929,1
303,0,0,53,2,0,2,3885,1
304,0,0,53,3,0,2,3885,2
305,0,0,53,4,0,2,3885,3
306,0,0,53,5,0,2,3407,3
307,0,0,53,6,0,2,3407,2
308,0,0,53,7,0,1,3407,1
309,0,0,53,8,0,2,5261,1
310,0,0,53,9,0,1,5261,2
311,0,0,53,10,0,2,5261,3
312,0,0,53,11,0,1,6323,3
313,0,0,53,12,0,2,6323,2
314,0,0,53,13,0,1,6323,1
315,0,0,53,14,0,2,5028,3
316,0,0,53,15,0,2,5028,2
317,0,0,53,16,0,2,5028,1
318,0,0,53,17,0,2,3198,1
319,0,0,53,18,0,2,3198,2
320,0,0,53,19,0,2,3198,3
321,0,0,53,20,0,1,4134,3
322,0,0,53,21,0,2,4134,2
323,0,0,53,22,0,1,4134,1
324,0,0,53,23,0,2,4635,1
325,0,0,53,24,0,1,4635,2
326,0,0,53,25,0,2,4635,3
327,0,0,53,26,0,1,4183,1
328,0,0,53,27,0,2,4183,2
329,0,0,53,28,0,2,4183,3
330,0,0,53,29,0,2,4792,3
331,0,0,53,30,0,2,4792,2
332,0,0,53,31,0,2,4792,1
333,0,0,53,32,0,2,3645,1
334,0,0,53,33,0,1,3645,2
335,0,0,53,34,0,2,3645,3
336,0,0,53,35,0,1,3792,3
337,0,0,53,36,0,2,3792,2
338,0,0,53,37,0,1,3792,1
339,0,0,53,38,0,2,6377,3
340,0,0,53,39,0,1,6377,2
341,0,0,53,40,0,2,6377,1
342,0,0,53,41,0,2,4634,1
343,0,0,53,42,0,2,4634,2
344,0,0,53,43,0,2,4634,3
345,0,0,53,44,0,2,3834,1
346,0,0,53,45,0,2,3834,2
347,0,0,53,46,0,1,3834,3
348,0,0,53,47,0,2,5878,1
349,0,0,53,48,0,1,5878,2
350,0,0,53,49,0,2,5878,3
351,0,0,53,50,0,1,3312,1
352,0,0,53,51,0,2,3312,2
353,0,0,53,52,0,1,3613,1
354,0,0,53,53,0,2,3613,2
355,0,0,53,54,0,2,3613,3
356,0,0,53,55,0,2,3828,3
